Timhotel Place d'Italie Butte aux Cailles	2 etoiles. Review : 8.5. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-italie-bercy-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	22 &#44  Rue Barrault 75013 Paris France	48.82830	2.34730	hotels
Timhotel Gare du Nord Hotel	2 etoiles. Review : 7.5. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-gare-du-nord-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	10 rue Philippe de Girard 75010 Paris France	48.88130	2.36190	hotels
Hotel Timhotel Montmartre	2 etoiles. Review : 8.4. URL : http://www.easytobook.com/en/france/paris/paris/hotel-timhotel-montmartre/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	11 &#44  rue Ravignan 75018 Paris France	48.88560	2.33800	hotels
Moulin Vert Hotel	2 etoiles. Review : 8.1. URL : http://www.easytobook.com/en/france/paris/paris/moulin-vert-hotel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	74 &#44  rue du Moulin Vert 75014 Paris France	48.83140	2.31980	hotels
Hotel Franklin Roosevelt	4 etoiles. Review : 9.5. URL : http://www.easytobook.com/en/france/paris/paris/hotel-franklin-roosevelt/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	18 &#44  rue Clement Marot 75008 Paris France	48.86770	2.30310	hotels
Hotel Rochester	4 etoiles. Review : 8.6. URL : http://www.easytobook.com/en/france/paris/paris/hotel-rochester/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	92 rue La Boetie 75008 Paris France	48.87240	2.30930	hotels
Hotel Chateau Frontenac	4 etoiles. Review : 9.1. URL : http://www.easytobook.com/en/france/paris/paris/hotel-chateau-frontenac/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	54 Rue Pierre Charron 75008 Paris France	48.86940	2.30280	hotels
Hotel Splendid Etoile	4 etoiles. Review : 8.9. URL : http://www.easytobook.com/en/france/paris/paris/splendid-etoile/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	1 avenue Carnot 75017 Paris France	48.87520	2.29350	hotels
Jardins de Paris Nation Bercy	3 etoiles. Review : 7.7. URL : http://www.easytobook.com/en/france/paris/paris/hotel-jardins-de-nation-bercy/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	61 Rue de la Voute 75012 Paris France	48.84640	2.41060	hotels
Timhotel Tour Eiffel	2 etoiles. Review : 8.2. URL : http://www.easytobook.com/en/france/paris/paris/timhotel-tour-eiffel/?utm_source={company_name}&utm_medium=vertical&utm_term=paris&utm_content=etb&utm_campaign=en&affid={number}	11 &#44  rue Juge 75015 Paris France	48.85010	2.29230	hotels
